Policy,Run,Seed,Total_Reward,Reward_CI,TTFF_steps,NST,RR_Score
MAB-Only,20,73,98.59,"[97.06, 100.12]",2.50,8,9.77
PPO-Only,1,42,51.92,"[49.06, 54.77]",4.95,5,5.21
PPO-Only,2,123,52.16,"[50.46, 53.85]",4.70,6,5.27
PPO-Only,3,456,51.48,"[48.63, 54.33]",4.64,4,5.07
PPO-Only,4,789,52.23,"[49.40, 55.06]",4.79,5,5.15
PPO-Only,5,2024,55.73,"[52.94, 58.53]",5.19,6,5.65
PPO-Only,6,7,48.17,"[45.56, 50.77]",4.92,5,4.88
PPO-Only,7,11,48.13,"[45.41, 50.84]",4.86,5,4.73
PPO-Only,8,19,54.31,"[51.52, 57.10]",4.51,6,5.42
PPO-Only,9,27,52.19,"[49.49, 54.88]",4.62,4,5.16
PPO-Only,10,31,52.25,"[49.45, 55.04]",5.35,4,5.25
PPO-Only,11,37,52.52,"[49.55, 55.49]",4.91,6,5.18
PPO-Only,12,41,48.63,"[46.86, 50.40]",5.53,4,4.78
PPO-Only,13,43,48.18,"[45.59, 50.78]",4.90,5,4.82
PPO-Only,14,47,50.34,"[47.97, 52.70]",4.74,5,4.93
PPO-Only,15,53,48.97,"[46.67, 51.28]",5.27,5,4.93
PPO-Only,16,59,56.39,"[54.79, 58.00]",4.84,5,5.60
PPO-Only,17,61,49.00,"[46.42, 51.58]",4.85,4,4.88
PPO-Only,18,67,54.11,"[52.17, 56.05]",4.42,5,5.50
PPO-Only,19,71,57.06,"[54.20, 59.91]",4.76,5,5.72
PPO-Only,20,73,48.48,"[46.55, 50.41]",5.01,5,4.88
DQN,1,42,47.17,"[45.01, 49.34]",4.85,4,4.80
DQN,2,123,50.87,"[49.12, 52.63]",4.54,5,5.11
DQN,3,456,42.26,"[39.53, 44.99]",5.64,4,4.17
DQN,4,789,48.35,"[46.82, 49.89]",4.83,4,4.91
DQN,5,2024,48.90,"[46.78, 51.02]",5.18,4,4.93
DQN,6,7,40.72,"[38.86, 42.59]",5.62,3,4.12
DQN,7,11,47.68,"[46.02, 49.34]",5.04,4,4.86
DQN,8,19,46.40,"[44.83, 47.98]",4.93,5,4.63
DQN,9,27,48.49,"[45.99, 50.99]",5.56,5,4.94
DQN,10,31,39.19,"[36.77, 41.61]",5.76,3,3.99
DQN,11,37,43.99,"[41.14, 46.83]",5.54,4,4.35
DQN,12,41,61.01,"[58.55, 63.47]",4.72,6,6.13
DQN,13,43,41.32,"[39.70, 42.93]",5.22,3,4.10
DQN,14,47,46.77,"[45.06, 48.47]",4.89,5,4.72
DQN,15,53,44.56,"[42.45, 46.67]",5.31,4,4.40
DQN,16,59,50.74,"[47.88, 53.59]",5.05,5,5.15
DQN,17,61,49.45,"[47.38, 51.52]",4.53,4,5.00
DQN,18,67,52.39,"[49.46, 55.32]",4.80,5,5.25
DQN,19,71,49.57,"[47.74, 51.40]",4.74,4,4.86
DQN,20,73,50.85,"[48.33, 53.36]",4.86,4,5.08
Round-Robin,1,42,49.85,"[47.42, 52.29]",4.53,4,5.00
Round-Robin,2,123,46.58,"[44.12, 49.04]",4.81,4,4.57
Round-Robin,3,456,55.80,"[53.98, 57.62]",4.54,6,5.56
Round-Robin,4,789,52.09,"[49.34, 54.84]",4.65,4,5.11
Round-Robin,5,2024,46.34,"[43.34, 49.33]",5.03,4,4.69
Round-Robin,6,7,46.73,"[44.10, 49.36]",5.61,4,4.58
Round-Robin,7,11,50.56,"[48.87, 52.25]",5.14,5,5.00
Round-Robin,8,19,50.80,"[48.15, 53.45]",4.63,5,5.13
Round-Robin,9,27,53.99,"[51.26, 56.71]",5.27,4,5.30
Round-Robin,10,31,52.67,"[50.15, 55.18]",5.32,5,5.31
Round-Robin,11,37,47.67,"[45.14, 50.21]",5.24,3,4.82
Round-Robin,12,41,51.99,"[49.59, 54.39]",4.52,6,5.26
Round-Robin,13,43,54.12,"[51.97, 56.26]",4.66,5,5.38
Round-Robin,14,47,47.13,"[44.39, 49.86]",4.75,5,4.74
Round-Robin,15,53,52.73,"[50.17, 55.30]",4.80,5,5.37
Round-Robin,16,59,51.03,"[48.32, 53.75]",4.99,5,5.09
Round-Robin,17,61,52.35,"[50.45, 54.25]",5.23,5,5.15
Round-Robin,18,67,52.84,"[50.98, 54.71]",4.82,5,5.26
Round-Robin,19,71,51.55,"[48.77, 54.33]",4.60,4,5.21
Round-Robin,20,73,47.87,"[45.05, 50.69]",5.31,4,4.69
Random,1,42,47.45,"[45.82, 49.08]",5.35,4,4.80
Random,2,123,49.67,"[47.21, 52.14]",5.01,5,4.89
Random,3,456,50.56,"[48.03, 53.10]",4.78,5,5.05
Random,4,789,55.76,"[53.62, 57.90]",4.96,5,5.62
Random,5,2024,46.43,"[44.56, 48.31]",4.80,4,4.57
Random,6,7,49.32,"[46.68, 51.96]",4.72,4,4.93
Random,7,11,55.75,"[52.78, 58.71]",4.74,5,5.49
Random,8,19,50.80,"[48.95, 52.64]",4.64,4,5.09
Random,9,27,50.00,"[47.04, 52.97]",5.05,5,4.93
Random,10,31,52.23,"[49.99, 54.46]",5.26,5,5.22
Random,11,37,54.96,"[53.18, 56.73]",4.30,6,5.49
Random,12,41,51.18,"[49.08, 53.29]",4.51,5,5.03
Random,13,43,48.66,"[46.32, 51.01]",4.87,5,4.79
Random,14,47,49.70,"[47.29, 52.11]",5.31,4,4.97
Random,15,53,59.26,"[57.09, 61.42]",4.90,6,5.89
Random,16,59,51.34,"[48.92, 53.75]",5.17,6,5.08
Random,17,61,49.04,"[46.55, 51.53]",4.70,4,4.82
Random,18,67,53.66,"[51.48, 55.83]",4.91,4,5.31
Random,19,71,54.40,"[51.85, 56.96]",4.73,5,5.52
Random,20,73,46.75,"[44.31, 49.19]",5.32,5,4.66
